name,pic_url,birth_year,season,team,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP
이범호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70756.jpg,1981,2019,KIA,0.231,19,26,1,6,1,0,1,5,0,0,3,3,0.385,0.29
방진호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70766.jpg,1977,2001,한화,0.108,37,37,4,4,0,0,0,0,0,0,2,10,0.108,0.154
방진호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70766.jpg,1977,2002,한화,-,2,0,1,0,0,0,0,0,0,0,0,0,-,-
장재명,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70806.jpg,1972,2000,SK,0.077,9,13,1,1,0,0,0,1,0,1,1,4,0.077,0.143
신주일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70814.jpg,1977,2000,SK,0.284,47,67,12,19,1,0,0,6,4,2,5,9,0.299,0.333
신주일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70814.jpg,1977,2001,SK,0,5,1,0,0,0,0,0,1,0,0,1,0,0,0.5
신주일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70814.jpg,1977,2004,SK,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
이승호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70820.jpg,1981,2009,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이승호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70820.jpg,1981,2010,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
이승호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70820.jpg,1981,2011,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이승호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70820.jpg,1981,2013,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
뮬렌,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70831.jpg,1967,2000,SK,0.196,14,46,5,9,0,0,1,3,2,0,6,18,0.261,0.296
채종범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70833.jpg,1977,2000,SK,0.247,132,457,55,113,22,5,8,52,5,8,35,59,0.37,0.311
채종범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70833.jpg,1977,2001,SK,0.255,117,396,54,101,15,0,8,38,6,9,46,49,0.354,0.343
채종범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70833.jpg,1977,2002,SK,0.291,127,478,79,139,19,2,17,68,10,9,47,70,0.446,0.374
채종범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70833.jpg,1977,2003,SK,0.242,94,223,20,54,10,0,3,15,0,0,11,34,0.327,0.292
채종범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70833.jpg,1977,2004,SK,0.293,104,321,48,94,21,2,7,43,2,5,33,44,0.436,0.374
채종범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70833.jpg,1977,2005,SK,0.556,8,9,4,5,1,0,0,1,0,0,2,1,0.667,0.636
채종범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70833.jpg,1977,2008,KIA,0.197,70,147,13,29,3,1,4,16,2,1,11,33,0.313,0.27
채종범,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70833.jpg,1977,2010,KIA,0.234,29,77,6,18,3,0,3,13,0,1,6,15,0.39,0.294
브리또,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70834.jpg,1972,2000,SK,0.338,103,405,65,137,26,4,15,70,3,2,31,55,0.533,0.399
브리또,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70834.jpg,1972,2001,SK,0.32,122,422,59,135,27,0,22,80,7,3,57,53,0.54,0.425
브리또,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70834.jpg,1972,2002,삼성,0.283,128,481,89,136,29,0,25,90,1,2,35,84,0.499,0.355
브리또,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70834.jpg,1972,2003,삼성,0.255,102,380,59,97,17,1,20,58,2,2,31,58,0.463,0.325
브리또,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70834.jpg,1972,2004,SK,0.261,102,368,41,96,18,0,13,50,0,2,34,57,0.416,0.345
브리또,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70834.jpg,1972,2005,한화,0.286,78,287,34,82,14,0,17,43,0,1,11,45,0.512,0.328
혼즈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70837.jpg,1970,2000,SK,0.317,23,82,8,26,6,1,1,10,0,0,7,14,0.451,0.371
조병찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70838.jpg,1977,2001,SK,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
신승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70839.jpg,1983,2003,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
신승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70839.jpg,1983,2004,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
신승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70839.jpg,1983,2013,KIA,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
신승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70839.jpg,1983,2014,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
신승현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70839.jpg,1983,2015,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
콜,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70840.jpg,1968,2000,SK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
엄정욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70855.jpg,1981,2004,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
엄정욱,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70855.jpg,1981,2009,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
풀리엄,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/70865.jpg,1967,2000,SK,0.267,91,288,46,77,13,1,16,55,2,2,27,55,0.486,0.34
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2001,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2002,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2003,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2004,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2009,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2011,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2012,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2014,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2015,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,-,-
이동현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71118.jpg,1983,2017,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
박용진,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71120.jpg,1982,2003,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
발데스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71123.jpg,1966,2001,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
박만채,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71136.jpg,1978,2003,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
김재학,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71150.jpg,1978,2001,LG,0.2,19,15,3,3,0,1,0,0,0,0,2,2,0.333,0.333
김재학,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71150.jpg,1978,2002,LG,0.154,12,13,1,2,0,0,0,1,0,0,0,3,0.154,0.214
김재학,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71150.jpg,1978,2003,LG,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
김재학,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71150.jpg,1978,2004,LG,0,4,6,0,0,0,0,0,0,0,0,0,4,0,0
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2008,KIA,0.097,39,31,2,3,0,0,1,3,0,0,2,8,0.194,0.147
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2009,KIA,0.231,13,13,2,3,1,0,0,2,2,0,1,3,0.308,0.286
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2010,KIA,0.25,10,16,2,4,0,0,0,0,0,0,0,3,0.25,0.25
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2011,KIA,0.333,15,9,2,3,0,0,0,0,0,0,0,0,0.333,0.333
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2012,KIA,0,16,8,1,0,0,0,0,1,0,0,1,2,0,0.111
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2013,KIA,0.136,15,22,0,3,0,0,0,0,0,0,0,7,0.136,0.136
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2014,KIA,0.234,63,124,11,29,3,0,1,9,1,0,3,18,0.282,0.258
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2015,KIA,0.222,79,117,8,26,8,0,1,16,0,0,9,20,0.316,0.271
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2016,KIA,0.211,55,76,9,16,1,0,0,6,0,0,5,10,0.224,0.282
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2017,SK,0.279,64,111,6,31,5,0,1,14,0,0,6,17,0.351,0.322
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2018,SK,0.242,88,120,10,29,5,0,0,5,1,0,8,16,0.283,0.292
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2019,LG,0.156,55,64,2,10,3,0,0,6,0,0,4,11,0.203,0.239
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2020,LG,0.234,72,77,7,18,1,0,3,11,0,0,6,14,0.364,0.289
이성우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71184.jpg,1981,2021,LG,0.212,36,33,0,7,0,0,0,2,0,0,1,8,0.212,0.235
이대현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71202.jpg,1982,2001,두산,0.056,21,18,1,1,1,0,0,1,0,0,1,5,0.111,0.105
이대현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71202.jpg,1982,2005,두산,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
이대현,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71202.jpg,1982,2006,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2001,두산,0.171,38,35,12,6,1,0,0,2,3,0,5,7,0.2,0.275
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2003,KIA,0.154,19,13,0,2,1,0,0,1,1,0,3,1,0.231,0.353
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2004,KIA,0.265,41,34,3,9,0,0,0,1,0,3,3,8,0.265,0.324
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2005,KIA,0.04,28,25,5,1,0,0,0,0,0,0,1,6,0.04,0.077
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2006,KIA,0.337,94,181,26,61,5,3,0,13,12,2,14,27,0.398,0.383
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2007,KIA,0.243,114,313,40,76,11,4,3,28,9,9,38,58,0.332,0.328
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2008,KIA,0.305,106,344,55,105,14,4,0,30,21,8,51,50,0.369,0.398
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2009,KIA,0.301,101,356,74,107,14,9,8,43,20,10,56,55,0.458,0.401
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2010,KIA,0.238,111,353,43,84,16,3,5,28,15,6,56,63,0.343,0.345
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2011,KIA,0.271,87,269,36,73,18,2,2,30,1,3,32,28,0.375,0.343
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2012,KIA,0.303,120,386,60,117,21,4,3,61,8,4,69,54,0.402,0.409
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2013,KIA,0.188,42,96,12,18,8,0,1,12,1,0,23,20,0.302,0.345
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2014,KIA,0.225,44,80,21,18,4,1,0,13,3,1,17,13,0.3,0.354
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2015,KIA,0.267,110,277,45,74,13,3,5,33,8,5,53,46,0.39,0.388
김원섭,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71207.jpg,1978,2016,KIA,0.219,37,73,10,16,5,0,0,12,1,0,15,16,0.288,0.348
윤태수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71252.jpg,1978,2002,두산,0.333,3,3,0,1,1,0,0,0,0,0,0,0,0.667,0.333
윤태수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71252.jpg,1978,2003,두산,0.333,6,6,1,2,0,0,1,1,0,0,0,1,0.833,0.333
김태영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71255.jpg,1980,2006,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
김태영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71255.jpg,1980,2007,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
김태영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71255.jpg,1980,2008,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
김태영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71255.jpg,1980,2009,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김태영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71255.jpg,1980,2011,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김태영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71255.jpg,1980,2013,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김태영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71255.jpg,1980,2014,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김태영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71255.jpg,1980,2015,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
이재우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71260.jpg,1980,2005,두산,-,5,0,0,0,0,0,0,0,0,0,0,0,-,-
이재우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71260.jpg,1980,2008,두산,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0
이재우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71260.jpg,1980,2009,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
니일,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71299.jpg,1965,2001,두산,0.193,17,57,7,11,4,0,1,3,0,0,10,15,0.316,0.324
필립스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71325.jpg,1970,2001,현대,0.261,66,230,37,60,10,0,15,46,1,0,25,62,0.5,0.346
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2008,우리,0,9,4,1,0,0,0,0,0,1,1,0,2,0,0
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2009,우리,0.2,15,25,3,5,1,0,0,1,5,0,1,5,0.24,0.231
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2010,넥센,0.283,119,435,60,123,16,10,1,47,41,14,41,74,0.372,0.343
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2011,넥센,0.242,84,265,35,64,8,1,3,15,11,7,16,54,0.313,0.29
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2012,넥센,0.246,116,414,64,102,9,5,8,35,32,10,40,67,0.35,0.315
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2013,넥센,0.242,115,360,54,87,16,2,2,30,20,11,35,63,0.314,0.307
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2014,두산,0.2,45,70,16,14,4,1,0,8,5,1,3,16,0.286,0.243
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2015,두산,0.189,53,53,15,10,2,0,0,4,0,1,7,13,0.226,0.29
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2016,한화,0.229,98,205,38,47,7,3,1,16,3,3,16,44,0.307,0.285
장민석,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71347.jpg,1982,2017,한화,0.278,88,299,38,83,9,0,1,21,8,4,15,58,0.318,0.311
바에르가,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71412.jpg,1968,2001,삼성,0.275,39,120,18,33,3,2,4,17,0,0,6,12,0.433,0.328
리베라,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71414.jpg,1969,2001,삼성,-,4,0,0,0,0,0,0,0,0,0,0,0,-,-
마르티네스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71419.jpg,1970,2001,삼성,0.278,128,482,93,134,27,2,25,96,28,11,50,79,0.498,0.349
마르티네스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71419.jpg,1970,2002,LG,0.279,109,409,59,114,19,1,15,69,22,12,49,70,0.44,0.357
마르티네스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71419.jpg,1970,2003,LG,0.273,131,483,70,132,29,2,17,70,27,14,53,67,0.447,0.35
이성수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71429.jpg,1978,2001,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2001,삼성,0.279,130,420,77,117,25,3,13,61,17,9,60,60,0.445,0.384
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2002,삼성,0.272,133,504,89,137,24,2,10,47,13,12,60,79,0.387,0.355
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2003,삼성,0.322,133,528,113,170,34,1,12,59,17,7,63,55,0.458,0.399
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2004,삼성,0.31,132,503,81,156,26,2,16,63,13,9,69,57,0.465,0.397
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2005,삼성,0.295,123,471,62,139,21,0,9,59,12,10,55,51,0.397,0.377
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2006,삼성,0.285,126,471,89,134,21,2,6,43,15,10,80,62,0.376,0.393
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2007,삼성,0.267,123,479,68,128,12,1,2,27,10,3,67,47,0.309,0.359
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2008,삼성,0.316,104,370,57,117,17,2,4,41,5,6,63,37,0.405,0.414
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2009,삼성,0.311,110,334,48,104,29,2,2,36,7,5,50,44,0.428,0.399
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2010,삼성,0.301,128,379,64,114,21,2,11,63,5,4,73,54,0.454,0.413
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2011,삼성,0.256,121,429,77,110,19,2,4,30,8,2,60,88,0.338,0.353
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2012,삼성,0.304,111,388,61,118,19,4,1,51,4,6,58,72,0.381,0.393
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2013,삼성,0.284,112,394,56,112,12,3,6,55,4,4,51,74,0.376,0.366
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2014,삼성,0.331,125,472,83,156,22,2,9,80,7,6,61,74,0.443,0.409
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2015,삼성,0.3,94,367,62,110,17,4,11,52,6,6,53,63,0.458,0.389
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2016,삼성,0.301,110,349,57,105,21,0,14,69,1,0,40,72,0.481,0.372
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2017,삼성,0.263,68,118,14,31,9,0,4,14,0,0,13,33,0.441,0.333
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2018,삼성,0.284,114,342,47,97,16,0,10,43,5,3,43,91,0.418,0.363
박한이,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71432.jpg,1979,2019,삼성,0.257,30,74,6,19,3,0,2,13,0,0,9,17,0.378,0.333
이정호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71433.jpg,1982,2001,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이정호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71433.jpg,1982,2003,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
이정호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71433.jpg,1982,2008,우리,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
김덕윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71440.jpg,1982,2004,삼성,-,3,0,0,0,0,0,0,0,0,0,0,0,-,-
김덕윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71440.jpg,1982,2005,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김덕윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71440.jpg,1982,2006,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
김덕윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71440.jpg,1982,2007,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
김덕윤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71440.jpg,1982,2008,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
정정오,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71458.jpg,1980,2001,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
조정권,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71463.jpg,1976,2001,한화,0.202,98,104,11,21,2,0,1,9,1,0,8,18,0.25,0.272
조정권,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/71463.jpg,1976,2002,한화,0.167,15,12,1,2,0,0,0,0,0,0,0,4,0.167,0.167
