NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
5992,대구광역시 동구 효목동,7*,-,40,월세,202506,25,400,35,,아양로50길,202506~202706,신규,-,,,단독다가구
5993,경상남도 진주시 초전동,1***,12m미만,81,월세,202506,25,"10,500",45,2017,초전북로39번길,202507~202707,신규,-,,,단독다가구
5994,경기도 광주시 송정동,5*,12m미만,30,월세,202506,25,300,40,2008,광주대로105번길,202507~202707,신규,-,,,단독다가구
5995,강원특별자치도 춘천시 칠전동,5**,12m미만,26,월세,202506,25,"1,000",33,2014,칠전서길,202506~202606,신규,-,,,단독다가구
5996,대구광역시 동구 방촌동,1***,12m미만,42.5,월세,202506,25,500,40,2004,호반길,202506~202706,신규,-,,,단독다가구
5997,경상북도 안동시 태화동,5**,25m미만,33,전세,202506,25,"4,200",0,2013,어가골윗길,202506~202706,신규,-,,,단독다가구
5998,광주광역시 광산구 산정동,9**,8m미만,199.44,월세,202506,25,300,55,1991,산정로38번길,202507~202706,신규,-,,,단독다가구
5999,광주광역시 광산구 산정동,9**,8m미만,199.44,월세,202506,25,300,55,1991,산정로38번길,202507~202706,신규,-,,,단독다가구
6000,경상남도 창원시 의창구 사림동,3*,12m미만,26.4,월세,202506,25,500,40,2017,사림로158번길,202506~202606,신규,-,,,단독다가구
6001,광주광역시 서구 농성동,3**,8m미만,33,월세,202506,25,200,30,2015,월산로245번길,-,-,-,,,단독다가구
6002,광주광역시 서구 농성동,1**,12m미만,141.48,월세,202506,25,500,30,2013,경열로57번길,202506~202606,신규,-,,,단독다가구
6003,대구광역시 동구 동호동,1**,12m미만,30.25,월세,202506,25,200,37,2016,경안로,202506~202606,신규,-,,,단독다가구
6004,경기도 평택시 용이동,4**,25m미만,45,월세,202506,25,500,55,2016,현신로,202506~202606,신규,-,,,단독다가구
6005,경기도 평택시 용이동,6**,12m미만,33,월세,202506,25,300,55,2017,현촌5길,-,-,-,,,단독다가구
6006,경기도 평택시 용이동,4**,12m미만,30,월세,202506,25,200,35,,현신2길,202507~202607,신규,-,,,단독다가구
6007,부산광역시 연제구 연산동,1***,8m미만,21,월세,202506,25,300,34,2010,거제천로104번길,202506~202606,신규,-,,,단독다가구
6008,경상북도 경주시 동천동,9**,12m미만,40,전세,202506,25,"4,000",0,2015,초당길55번길,202506~202706,신규,-,,,단독다가구
6009,경상북도 경주시 용강동,3**,12m미만,33,월세,202506,25,300,44,2015,승삼3길,202506~202606,신규,-,,,단독다가구
6010,대전광역시 유성구 구암동,6**,12m미만,26,월세,202506,25,100,25,1997,월드컵대로253번안길,202506~202606,신규,-,,,단독다가구
6011,광주광역시 서구 농성동,6**,25m미만,23.86,월세,202506,25,300,55,2024,군분로189번길,202506~202606,신규,-,,,단독다가구
6012,충청남도 천안시 동남구 청당동,7**,12m미만,38,전세,202506,25,"7,000",0,2014,청수7로,202506~202706,신규,-,,,단독다가구
6013,경상남도 진주시 상봉동,1***,8m미만,28,월세,202506,25,"4,000",5,2008,창렬로150번길,-,-,-,,,단독다가구
6014,부산광역시 동래구 명장동,3**,8m미만,119.39,월세,202506,25,500,20,1992,시실로205번길,202506~202706,신규,-,,,단독다가구
6015,전북특별자치도 군산시 지곡동,5**,12m미만,43,월세,202506,25,300,40,2013,상지곡1길,202506~202606,신규,-,,,단독다가구
6016,전북특별자치도 군산시 지곡동,5**,12m미만,50,월세,202506,25,300,35,2015,상지곡안4길,202506~202606,신규,-,,,단독다가구
6017,대구광역시 서구 내당동,2**,8m미만,49.41,전세,202506,25,"5,000",0,1983,서대구로4길,202507~202706,신규,-,,,단독다가구
6018,경상북도 경주시 성건동,3**,8m미만,60,월세,202506,25,500,45,2014,화랑로28번길,202506~202606,신규,-,,,단독다가구
6019,충청남도 천안시 동남구 청당동,7**,12m미만,50,월세,202506,25,500,53,2013,청수7로,202506~202606,신규,-,,,단독다가구
6020,경상북도 경주시 성건동,6**,12m미만,39.6,월세,202506,25,500,37,2016,한빛길6번길,202506~202606,신규,-,,,단독다가구
6021,경상북도 경주시 노서동,1**,12m미만,29.75,월세,202506,25,300,40,2015,태종로699번길,202507~202512,신규,-,,,단독다가구
6022,경상남도 창원시 의창구 사림동,6*,12m미만,30,월세,202506,25,300,35,1992,사림로123번길,202506~202706,신규,-,,,단독다가구
6023,인천광역시 부평구 부평동,1*,8m미만,23,월세,202506,25,500,50,2019,장제로205번길,202506~202706,신규,-,,,단독다가구
6024,인천광역시 부평구 부평동,4**,12m미만,70,월세,202506,25,"1,000",70,1999,장제로159번길,202507~202707,신규,-,,,단독다가구
6025,인천광역시 서구 원당동,8**,12m미만,26.44,월세,202506,25,100,34,2012,원당대로823번길,202506~202512,신규,-,,,단독다가구
6026,울산광역시 동구 방어동,1***,25m미만,27.36,월세,202506,25,200,40,2011,문현로,202506~202606,신규,-,,,단독다가구
6027,경기도 파주시 금촌동,9**,8m미만,41.5,전세,202506,25,"3,000",0,2009,평화로,202506~202606,신규,-,,,단독다가구
6028,경기도 파주시 금촌동,9**,12m미만,26.44,월세,202506,25,100,28,2003,동산3길,202506~202706,신규,-,,,단독다가구
6029,경기도 김포시 사우동,2**,8m미만,26,월세,202506,25,300,32,2003,봉화로,202506~202606,신규,-,,,단독다가구
6030,대전광역시 대덕구 신탄진동,1**,8m미만,21,월세,202506,25,100,30,2011,신탄진동로36번길,202506~202606,신규,-,,,단독다가구
6031,강원특별자치도 원주시 관설동,1***,12m미만,27.71,월세,202506,25,200,38,2011,관설안길,202506~202512,신규,-,,,단독다가구
6032,부산광역시 사하구 괴정동,1***,25m미만,36.96,전세,202506,25,"5,200",0,1981,승학로,202507~202707,신규,-,,,단독다가구
6033,부산광역시 사하구 괴정동,1*,8m미만,97.82,월세,202506,25,500,30,1976,까치고개로,202506~202706,신규,-,,,단독다가구
6034,광주광역시 서구 쌍촌동,1***,12m미만,15.34,월세,202506,25,300,45,2021,운천로184번길,202506~202606,신규,-,,,단독다가구
6035,경기도 김포시 장기동,1***,12m미만,35,월세,202506,25,300,45,2015,김포한강2로24번길,202506~202606,신규,-,,,단독다가구
6036,전라남도 나주시 송월동,1***,25m미만,18.58,월세,202506,25,200,35,2021,송월13길,202506~202606,신규,-,,,단독다가구
6037,울산광역시 중구 성안동,5**,12m미만,39.96,월세,202506,25,"1,000",36,2011,성안2길,202506~202606,신규,-,,,단독다가구
6038,울산광역시 중구 복산동,1**,25m이상,132,월세,202506,25,300,40,1989,화합로,202506~202706,신규,-,,,단독다가구
6039,경상남도 김해시 전하동,4**,12m미만,35,월세,202506,25,"1,500",40,2016,전하로208번길,202506~202706,신규,-,,,단독다가구
6040,경기도 평택시 고덕동,2***,25m미만,49.97,월세,202506,25,500,80,2021,고덕여염5길,202507~202601,신규,-,,,단독다가구
6041,대구광역시 서구 중리동,3*,8m미만,126.73,전세,202506,25,"3,000",0,1982,서대구로25길,202506~202706,신규,-,,,단독다가구
6042,전라남도 순천시 연향동,1***,25m미만,45,월세,202506,25,300,40,2018,안산길,202506~202706,신규,-,,,단독다가구
6043,대전광역시 동구 용운동,2**,8m미만,45,월세,202506,25,300,40,1998,용운로205번길,202507~202707,신규,-,,,단독다가구
6044,전라남도 순천시 연향동,1***,12m미만,33,전세,202506,25,"5,000",0,2010,율산1길,-,-,-,,,단독다가구
6045,대구광역시 남구 봉덕동,9**,8m미만,142.56,월세,202506,25,200,28,1992,봉덕로23길,202507~202707,신규,-,,,단독다가구
6046,경기도 안산시 단원구 선부동,1***,25m미만,42,월세,202506,25,300,38,1993,선여불로,202507~202707,신규,-,,,단독다가구
6047,경기도 안산시 단원구 선부동,1***,25m미만,15,월세,202506,25,400,16,1993,달미로,202506~202706,갱신,-,200,18,단독다가구
6048,대전광역시 서구 관저동,1***,12m미만,21.49,월세,202506,25,500,40,2018,구봉산북로280번길,202506~202606,신규,-,,,단독다가구
6049,대전광역시 서구 관저동,1***,12m미만,20,월세,202506,25,300,35,2014,관저북로51번길,202506~202606,신규,-,,,단독다가구
6050,대전광역시 서구 관저동,1***,12m미만,27,월세,202506,25,600,55,2016,관저남로25번길,202506~202602,신규,-,,,단독다가구
6051,대전광역시 서구 관저동,1***,12m미만,35,전세,202506,25,"8,000",0,2017,구봉산북로280번길,202507~202707,신규,-,,,단독다가구
6052,경상남도 진주시 계동,*,8m미만,40,월세,202506,25,"1,000",30,2015,비봉로74번길,202506~202706,신규,-,,,단독다가구
6053,울산광역시 북구 염포동,1***,12m미만,65,월세,202506,25,"1,000",80,2013,성내4길,202506~202606,신규,-,,,단독다가구
6054,대전광역시 서구 관저동,1***,12m미만,33,월세,202506,25,500,45,2012,관저북로51번길,-,-,-,,,단독다가구
6055,대전광역시 서구 관저동,1***,12m미만,50,월세,202506,25,"1,000",60,2016,관저남로25번길,202506~202706,신규,-,,,단독다가구
6056,대전광역시 서구 관저동,1***,12m미만,35,전세,202506,25,"8,000",0,,구봉산북로280번길,-,-,-,,,단독다가구
6057,대전광역시 서구 관저동,1***,12m미만,20,월세,202506,25,500,35,2017,봉우로48번길,202506~202706,신규,-,,,단독다가구
6058,경상남도 진주시 평거동,8**,12m미만,86.28,월세,202506,25,"2,000",55,2017,새들말로,202507~202707,신규,-,,,단독다가구
6059,경기도 화성시 안녕동,1**,8m미만,18.35,전세,202506,25,"5,500",0,2018,효행로414번길,202507~202702,신규,-,,,단독다가구
6060,인천광역시 서구 석남동,5**,8m미만,36,월세,202506,25,200,25,1990,거북로,202506~202706,신규,-,,,단독다가구
6061,전라남도 여수시 선원동,1***,12m미만,30,월세,202506,25,100,35,2011,선원7길,202506~202512,신규,-,,,단독다가구
6062,전라남도 여수시 선원동,1***,12m미만,40,월세,202506,25,200,45,2012,선원5길,202506~202512,신규,-,,,단독다가구
6063,경기도 안성시 신소현동,7*,8m미만,66.3,월세,202506,25,"3,000",30,1989,봉안1길,202507~202707,신규,-,,,단독다가구
6064,강원특별자치도 강릉시 옥천동,3**,12m미만,38.51,전세,202506,25,"10,500",0,,중기4길,202506~202706,갱신,사용,"10,000",0,단독다가구
6065,강원특별자치도 강릉시 옥천동,2**,8m미만,52.8,월세,202506,25,500,65,2016,옥천로65번길,202507~202606,신규,-,,,단독다가구
6066,제주특별자치도 서귀포시 서귀동,2**,12m미만,29.98,월세,202506,25,200,48,2019,중동로,202507~202607,신규,-,,,단독다가구
6067,인천광역시 남동구 논현동,5**,12m미만,26,월세,202506,25,300,30,2010,은봉로315번길,202506~202606,신규,-,,,단독다가구
6068,전라남도 여수시 미평동,1**,8m미만,16,월세,202506,25,200,33,2021,미평8길,202506~202508,신규,-,,,단독다가구
6069,전라남도 여수시 문수동,6**,8m미만,18,월세,202506,25,500,31,2020,소미1길,202506~202606,신규,-,,,단독다가구
6070,경상남도 김해시 대성동,1**,12m미만,38,월세,202506,25,300,32,2014,가락로129번길,202506~202606,신규,-,,,단독다가구
6071,울산광역시 동구 방어동,1***,25m미만,29.75,월세,202506,25,100,30,2010,화잠로,202506~202606,신규,-,,,단독다가구
6072,대전광역시 서구 도안동,1***,12m미만,24.09,월세,202506,25,"9,500",13,2021,용소로49번길,202508~202708,신규,-,,,단독다가구
6073,대전광역시 서구 도안동,1***,12m미만,42.11,월세,202506,25,"9,500",38,,용소로49번길,202507~202707,신규,-,,,단독다가구
6074,경기도 김포시 장기동,1***,12m미만,26,월세,202506,25,500,45,2014,김포한강1로97번길,202506~202706,신규,-,,,단독다가구
6075,경기도 하남시 망월동,9**,25m미만,50,전세,202506,25,"35,000",0,2019,미사강변한강로220번길,202508~202708,신규,-,,,단독다가구
6076,부산광역시 금정구 부곡동,2**,12m미만,28.37,월세,202506,25,"2,000",30,2017,부곡로142번길,202506~202606,신규,-,,,단독다가구
6077,경기도 평택시 신장동,2**,8m미만,72.48,월세,202506,25,300,50,1994,복창로57번길,202506~202706,신규,-,,,단독다가구
6078,강원특별자치도 강릉시 교동,7**,12m미만,33,월세,202506,25,300,43,2014,율곡로2953번길,202506~202512,신규,-,,,단독다가구
6079,강원특별자치도 강릉시 교동,9**,12m미만,109,월세,202506,25,100,70,2016,원대로8번길,202506~202706,신규,-,,,단독다가구
6080,전북특별자치도 익산시 모현동1가,4**,12m미만,24,월세,202506,25,300,40,2015,선화로5길,202506~202606,신규,-,,,단독다가구
6081,대구광역시 남구 대명동,1***,12m미만,21,월세,202506,25,300,29,2006,현충로50길,202506~202512,신규,-,,,단독다가구
6082,대구광역시 남구 대명동,1***,25m미만,50,월세,202506,25,"6,700",10,2011,대명남로,202507~202707,신규,-,,,단독다가구
6083,대전광역시 동구 가양동,2**,12m미만,25,월세,202506,25,150,26,2016,가양남로13번길,202506~202606,신규,-,,,단독다가구
6084,강원특별자치도 강릉시 옥천동,3**,12m미만,32.52,월세,202506,25,300,36,2016,중기4길,202507~202607,신규,-,,,단독다가구
6085,경기도 광주시 역동,1**,8m미만,19.83,월세,202506,25,300,36,,역동로81번길,202507~202604,신규,-,,,단독다가구
6086,인천광역시 서구 당하동,1***,12m미만,23,월세,202506,25,50,30,2010,원당대로820번2길,202506~202509,신규,-,,,단독다가구
6087,대구광역시 남구 대명동,1***,8m미만,23,월세,202506,25,700,31,2015,명덕로26길,202506~202606,신규,-,,,단독다가구
6088,대구광역시 남구 대명동,1***,8m미만,23.14,월세,202506,25,200,24,2004,명덕로32길,202506~202606,신규,-,,,단독다가구
6089,대구광역시 남구 대명동,4**,12m미만,46.83,월세,202506,25,300,45,2007,현충로6길,202506~202606,신규,-,,,단독다가구
6090,전라남도 목포시 옥암동,1***,12m미만,27.1,월세,202506,25,200,35,,남악1로52번나길,202506~202606,신규,-,,,단독다가구
6091,대구광역시 북구 노원동2가,3**,12m미만,220.89,월세,202506,25,100,30,1974,오봉로1길,202506~202706,신규,-,,,단독다가구
6092,경상남도 통영시 무전동,9**,12m미만,40,월세,202506,25,"3,000",15,2017,안개4길,-,-,-,,,단독다가구
6093,전라남도 목포시 상동,8**,12m미만,20.95,월세,202506,25,200,30,2013,하당로221번길,202506~202606,신규,-,,,단독다가구
6094,대구광역시 북구 산격동,1***,25m미만,36.36,월세,202506,25,300,40,2016,대구체육관로10길,202506~202606,신규,-,,,단독다가구
6095,인천광역시 남동구 만수동,1***,12m미만,20,월세,202506,25,300,30,1993,담방로47번길,202507~202707,신규,-,,,단독다가구
6096,부산광역시 연제구 연산동,3**,12m미만,146.46,월세,202506,25,"1,000",30,1989,연동로7번길,202506~202706,신규,-,,,단독다가구
6097,부산광역시 연제구 연산동,3**,8m미만,65.95,월세,202506,25,"8,000",10,1979,쌍미천로156번길,202507~202707,신규,-,,,단독다가구
6098,전라남도 목포시 호남동,3**,25m이상,149.34,월세,202506,25,100,20,1984,영산로,202506~202606,신규,-,,,단독다가구
6099,경기도 구리시 교문동,2**,12m미만,17,월세,202506,25,500,35,2002,경춘로162번길,202506~202606,신규,-,,,단독다가구
6100,경기도 구리시 수택동,4**,12m미만,33,전세,202506,25,"5,000",0,,원수택로52번길,202508~202708,신규,-,,,단독다가구
6101,강원특별자치도 강릉시 송정동,2**,8m미만,49.95,월세,202506,25,"4,156",9,2019,송정길,202506~202709,신규,-,,,단독다가구
6102,경기도 구리시 수택동,5**,8m미만,66.33,전세,202506,25,"10,000",0,1984,검배로84번길,202508~202708,신규,-,,,단독다가구
6103,경기도 구리시 수택동,5**,8m미만,33.21,전세,202506,25,"13,000",0,1992,수택천로25번길,202507~202707,신규,-,,,단독다가구
6104,경기도 구리시 수택동,4**,12m미만,82.08,전세,202506,25,"16,000",0,1984,원수택로,202412~202612,갱신,-,"16,000",0,단독다가구
6105,경기도 구리시 수택동,4**,8m미만,57.18,전세,202506,25,"16,700",0,1993,검배로60번길,202506~202706,신규,-,,,단독다가구
6106,전라남도 목포시 산정동,1***,12m미만,165.62,월세,202506,25,300,40,1989,연동로17번길,202506~202706,신규,-,,,단독다가구
6107,충청남도 당진시 대덕동,1***,12m미만,73,월세,202506,25,"1,000",60,2015,대덕1로,202507~202706,신규,-,,,단독다가구
6108,제주특별자치도 서귀포시 서홍동,3**,8m미만,49.7,월세,202506,25,500,54,1999,장수로,202506~202706,신규,-,,,단독다가구
6109,대구광역시 북구 태전동,2**,8m미만,29.08,전세,202506,25,"7,000",0,2019,칠곡중앙대로북53길,202507~202707,신규,-,,,단독다가구
6110,경상남도 창원시 의창구 봉곡동,6*,12m미만,49,월세,202506,25,"1,000",45,2016,지귀로119번길,202506~202706,신규,-,,,단독다가구
6111,충청남도 천안시 동남구 청수동,2**,8m미만,30,월세,202506,25,100,30,2006,청수3길,202506~202606,신규,-,,,단독다가구
6112,울산광역시 동구 화정동,6**,12m미만,58,월세,202506,25,300,45,2012,해수욕장1길,202506~202706,신규,-,,,단독다가구
6113,울산광역시 동구 화정동,8**,12m미만,50,월세,202506,25,200,35,1990,양지6길,202506~202706,신규,-,,,단독다가구
6114,울산광역시 남구 신정동,1**,12m미만,42.9,월세,202506,25,500,54,,번영로201번길,202506~202606,신규,-,,,단독다가구
6115,대구광역시 북구 태전동,4**,12m미만,50,월세,202506,25,500,53,2014,칠곡중앙대로42길,202506~202706,신규,-,,,단독다가구
6116,경기도 하남시 덕풍동,3**,8m미만,34.49,전세,202506,25,"3,000",0,,수리남로5번길,202507~202707,신규,-,,,단독다가구
6117,경기도 하남시 덕풍동,3**,8m미만,24.48,전세,202506,25,"8,000",0,1983,수리북로39번길,202507~202707,신규,-,,,단독다가구
6118,경기도 하남시 덕풍동,4**,8m미만,184.16,월세,202506,25,200,15,1980,덕풍공원로93번길,202507~202707,신규,-,,,단독다가구
6119,대전광역시 대덕구 미호동,1**,8m미만,50.2,월세,202506,25,500,35,2008,대청로526번길,202506~202706,신규,-,,,단독다가구
6120,대구광역시 북구 태전동,2**,8m미만,29.08,전세,202506,25,"7,000",0,2019,칠곡중앙대로북53길,202507~202707,신규,-,,,단독다가구
6121,대전광역시 서구 둔산동,2***,8m미만,25,월세,202506,25,300,48,2019,둔산로230번길,202506~202606,신규,-,,,단독다가구
6122,충청남도 논산시 내동,3**,12m미만,26.24,월세,202506,25,"1,000",55,2023,시민로,202506~202606,신규,-,,,단독다가구
6123,대구광역시 수성구 범어동,1*,8m미만,29.75,월세,202506,25,500,40,,동대구로77길,202506~202606,신규,-,,,단독다가구
6124,대구광역시 수성구 만촌동,4**,12m미만,193.72,월세,202506,25,"10,000",20,1986,화랑로2길,202507~202707,신규,-,,,단독다가구
6125,충청남도 논산시 취암동,1***,12m미만,40,월세,202506,25,300,40,2012,중앙로384번길,202506~202606,신규,-,,,단독다가구
6126,충청남도 논산시 취암동,8**,8m미만,27,월세,202506,25,100,30,2008,부창로100번길,202506~202606,신규,-,,,단독다가구
6127,대구광역시 수성구 수성동4가,1***,8m미만,25,월세,202506,25,100,10,1956,신천동로96길,202507~202706,신규,-,,,단독다가구
6128,대구광역시 수성구 황금동,7**,12m미만,45,월세,202506,25,500,35,,들안로40안길,202506~202606,신규,-,,,단독다가구
6129,경상북도 경산시 사동,5**,12m미만,54,월세,202506,25,500,50,2015,원효로34길,202506~202606,신규,-,,,단독다가구
6130,대구광역시 수성구 황금동,8**,12m미만,28,월세,202506,25,200,35,2012,들안로32길,202506~202606,신규,-,,,단독다가구
6131,울산광역시 남구 달동,1***,12m미만,30,전세,202506,25,"4,000",0,2001,달삼로32번길,202507~202707,신규,-,,,단독다가구
6132,대전광역시 서구 갈마동,3**,8m미만,28,월세,202506,25,200,30,2003,계룡로354번길,202507~202606,신규,-,,,단독다가구
6133,대전광역시 서구 갈마동,2**,8m미만,25,월세,202506,25,"1,000",35,2019,신갈마로,202506~202606,신규,-,,,단독다가구
6134,대전광역시 서구 갈마동,1***,12m미만,25,월세,202506,25,300,40,2001,대덕대로,202506~202606,신규,-,,,단독다가구
6135,대전광역시 서구 갈마동,3**,25m미만,50,월세,202506,25,"9,500",20,2017,갈마로,202507~202707,신규,-,,,단독다가구
6136,대구광역시 수성구 중동,5**,12m미만,42,월세,202506,25,"2,000",30,2017,수성로35길,202506~202706,신규,-,,,단독다가구
6137,경기도 화성시 병점동,8**,12m미만,24,월세,202506,25,500,28,2007,병점동로42번길,202507~202607,신규,-,,,단독다가구
6138,대전광역시 동구 용전동,1**,12m미만,52,전세,202506,25,"9,000",0,2015,계족로423번길,-,-,-,,,단독다가구
6139,대전광역시 동구 용전동,1**,12m미만,52.89,전세,202506,25,"9,000",0,2015,계족로423번길,202508~202708,갱신,-,"8,000",0,단독다가구
6140,울산광역시 중구 반구동,4*,12m미만,29.75,월세,202506,25,500,38,2015,구교2길,202506~202606,신규,-,,,단독다가구
6141,충청남도 서산시 예천동,1***,12m미만,27,월세,202506,25,"1,000",45,2021,예천7로,202506~202606,신규,-,,,단독다가구
6142,부산광역시 사하구 하단동,5**,8m미만,79.01,월세,202506,25,"9,000",10,1979,낙동대로474번길,202507~202707,신규,-,,,단독다가구
6143,경기도 남양주시 이패동,2**,8m미만,88,월세,202506,25,"2,000",65,1995,양정로219번길,202508~202708,신규,-,,,단독다가구
6144,울산광역시 중구 반구동,8**,12m미만,23.04,월세,202506,25,300,46,2021,반구정20길,202506~202606,신규,-,,,단독다가구
6145,경기도 남양주시 별내동,9**,12m미만,45,월세,202506,25,"12,000",15,2012,두물로39번길,202508~202708,신규,-,,,단독다가구
6146,경기도 남양주시 별내동,1***,12m미만,59.54,전세,202506,25,"30,000",0,2021,식송2로,202507~202707,갱신,-,"20,000",45,단독다가구
6147,울산광역시 중구 반구동,7**,12m미만,29.5,월세,202506,25,500,35,2014,내황4길,202506~202606,갱신,-,500,30,단독다가구
6148,경기도 파주시 목동동,1***,12m미만,45,월세,202506,25,"5,000",55,2017,심학산로423번길,202508~202708,신규,-,,,단독다가구
6149,대전광역시 대덕구 덕암동,6*,12m미만,20,월세,202506,25,500,50,2020,덕암로125번안길,202506~202606,신규,-,,,단독다가구
6150,부산광역시 해운대구 반여동,1***,12m미만,38.76,월세,202506,25,500,20,1992,재반로225번길,202506~202706,신규,-,,,단독다가구
6151,인천광역시 남동구 구월동,2**,12m미만,21.3,월세,202506,25,50,29,,인주대로614번길,202506~202512,신규,-,,,단독다가구
6152,대구광역시 수성구 상동,3**,12m미만,44,월세,202506,25,"1,000",40,2015,무학로11길,202506~202606,신규,-,,,단독다가구
6153,강원특별자치도 강릉시 유천동,2**,8m미만,33,월세,202506,25,500,50,2021,사임당로,-,-,-,,,단독다가구
6154,경기도 안산시 상록구 사동,1***,12m미만,80,월세,202506,25,"3,000",75,1994,영화7길,202506~202706,신규,-,,,단독다가구
6155,대구광역시 수성구 두산동,1**,12m미만,41,월세,202506,25,500,30,2003,무학로21안길,202506~202606,신규,-,,,단독다가구
6156,부산광역시 동래구 사직동,3**,8m미만,27.93,전세,202506,25,"8,000",0,1974,여고북로60번길,202507~202707,신규,-,,,단독다가구
6157,대구광역시 수성구 지산동,1***,8m미만,72,월세,202506,25,"1,000",73,2016,무학로27길,202507~202706,신규,-,,,단독다가구
6158,경기도 광주시 신현동,2**,8m미만,43.07,전세,202506,25,"9,500",0,2010,문형산길,202507~202707,신규,-,,,단독다가구
6159,부산광역시 금정구 남산동,1**,12m미만,25,월세,202506,25,200,31,2015,중앙대로2035번길,202506~202606,신규,-,,,단독다가구
6160,경기도 광주시 신현동,6**,8m미만,40.74,전세,202506,25,"12,000",0,2017,머루숯길,202507~202707,신규,-,,,단독다가구
6161,대구광역시 수성구 신매동,5**,12m미만,60,월세,202506,25,500,30,1997,신매로8길,202506~202706,신규,-,,,단독다가구
6162,강원특별자치도 강릉시 노암동,7**,8m미만,136.84,월세,202506,25,300,40,1978,단오장길22번길,202508~202608,신규,-,,,단독다가구
6163,부산광역시 부산진구 개금동,5**,8m미만,43,월세,202506,25,"1,000",25,1990,냉정로,202506~202706,신규,-,,,단독다가구
6164,부산광역시 남구 문현동,2**,8m미만,117.8,월세,202506,25,400,25,1985,수영로49번가길,202506~202706,신규,-,,,단독다가구
6165,부산광역시 남구 문현동,2**,8m미만,33.88,월세,202506,25,30,15,,수영로65번길,202506~202706,신규,-,,,단독다가구
6166,부산광역시 수영구 수영동,3*,8m미만,28.29,전세,202506,25,"10,000",0,2018,수영성로27번길,202507~202707,신규,-,,,단독다가구
6167,경기도 광주시 능평동,4**,8m미만,40,월세,202506,25,"1,000",63,,능평로30번길,202506~202706,신규,-,,,단독다가구
6168,울산광역시 북구 명촌동,7**,-,29.75,월세,202506,25,"1,000",30,,명촌13길,202506~202606,신규,-,,,단독다가구
6169,경기도 광주시 능평동,4**,25m이상,45,전세,202506,25,"15,750",0,2016,태재로,202507~202707,신규,-,,,단독다가구
6170,인천광역시 연수구 연수동,4**,8m미만,30,월세,202506,25,70,70,1996,비류대로347번길,202506~202509,갱신,-,60,60,단독다가구
6171,인천광역시 연수구 연수동,5**,8m미만,54.1,월세,202506,25,60,61,1996,함박로88번길,202506~202806,신규,-,,,단독다가구
6172,울산광역시 남구 달동,1***,8m미만,99,월세,202506,25,"1,000",115,2009,왕생로30번길,202506~202706,신규,-,,,단독다가구
6173,울산광역시 남구 달동,1***,12m미만,29.75,월세,202506,25,300,47,2005,도산로135번길,202506~202606,신규,-,,,단독다가구
6174,대전광역시 동구 삼성동,3**,8m미만,49.58,전세,202506,25,"6,600",0,2011,태전로104번길,202507~202707,갱신,-,"6,600",0,단독다가구
6175,대전광역시 대덕구 비래동,1**,8m미만,62.73,전세,202506,25,"2,000",0,1992,비래서로,202506~202706,신규,-,,,단독다가구
6176,대구광역시 달서구 두류동,1**,12m미만,25,월세,202506,25,300,30,2016,야외음악당로53길,202506~202606,신규,-,,,단독다가구
6177,경상남도 김해시 삼방동,1**,25m미만,15,월세,202506,25,500,35,2017,인제로200번길,202506~202606,신규,-,,,단독다가구
6178,대구광역시 달서구 두류동,1**,8m미만,27,월세,202506,25,100,30,2009,야외음악당로47길,202506~202606,신규,-,,,단독다가구
6179,경기도 안산시 상록구 사동,1***,8m미만,20,월세,202506,25,100,24,2003,서암로4길,202506~202606,신규,-,,,단독다가구
6180,대구광역시 달서구 신당동,1***,8m미만,25,월세,202506,25,"1,000",29,2011,서당로9길,202506~202606,신규,-,,,단독다가구
6181,충청남도 아산시 모종동,6**,25m미만,23.14,월세,202506,25,500,36,2018,모종남로12번길,202506~202606,신규,-,,,단독다가구
6182,충청남도 아산시 모종동,5**,12m미만,60,월세,202506,25,"1,000",55,2016,번영로234번길,202508~202608,신규,-,,,단독다가구
6183,대전광역시 서구 탄방동,1***,12m미만,50,전세,202506,24,"12,000",0,1995,둔산남로180번길,202507~202707,갱신,-,"12,000",0,단독다가구
6184,인천광역시 서구 당하동,1***,12m미만,40,월세,202506,24,500,55,2016,원당대로820번2길,-,-,-,,,단독다가구
6185,인천광역시 서구 마전동,9**,12m미만,115.16,전세,202506,24,"5,000",0,1998,검단로487번길,202507~202707,신규,-,,,단독다가구
6186,광주광역시 북구 용봉동,1***,8m미만,52.5,월세,202506,24,300,32,1990,용주로40번길,202506~202702,신규,-,,,단독다가구
6187,울산광역시 동구 방어동,9**,12m미만,89,월세,202506,24,500,95,2012,남진길,202507~202606,신규,-,,,단독다가구
6188,경기도 이천시 창전동,4**,12m미만,23,월세,202506,24,500,43,2013,이섭대천로1291번길,202506~202606,신규,-,,,단독다가구
6189,경기도 이천시 창전동,4**,12m미만,23,월세,202506,24,"1,000",40,2013,이섭대천로1291번길,202506~202606,신규,-,,,단독다가구
6190,경상남도 진주시 상봉동,8**,12m미만,52.8,전세,202506,24,"8,000",0,2011,의병로58번길,202507~202707,신규,-,,,단독다가구
